Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags
46506,179.1.4.237,443,6,11/05/201710:01:33,35196160,58,60,12948,4811.0,1564,0,223.2413793103,417.5144628378,981,0,80.1833333333,168.7920686211,504.5720896825,3.3526384697,300821.88034188,2252927.1011183,23799843.0,1,35155661.0,616765.98245614,3212416.9920642,23799943.0,16.0,35196031.0,596542.898305085,3157980.46694287,23799850.0,12.0,0
60137,179.1.4.210,443,6,27/04/201704:59:17,145054,12,9,3631,5038.0,1436,0,302.5833333333,542.9579689632,1436,0,559.7777777778,568.944368497,59763.9499772499,144.7736704951,7252.7,19174.7152153421,86810.0,0,145054.0,13186.7272727273,28446.356744198,96563.0,0.0,136464.0,17058.0,29055.9187823361,86810.0,0.0,0
3128,192.168.180.16,30324,6,27/04/201709:53:33,112805,1,2,6,12.0,6,6,6.0,0.0,6,6,6.0,0.0,159.5673950623,26.5945658437,56402.5,79763.7662381861,112804.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0
50093,10.200.7.7,3128,6,09/05/201711:32:16,9114881,17,40,2324,25341.0,606,0,136.7058823529,196.2303380934,5121,0,633.525,1159.623347062,3035.1465916011,6.2535100568,162765.732142857,1075329.63161145,8051297.0,0,9114881.0,569680.0625,2000248.72203962,8051297.0,0.0,807795.0,20712.6923076923,68202.9368016988,369858.0,0.0,0
49192,10.200.7.9,3128,6,27/04/201707:57:56,753606,11,9,679,4348.0,341,0,61.7272727273,112.6934700052,2181,0,483.1111111111,933.6919251611,6670.594448558,26.5390668333,39663.4736842105,108367.736268365,450168.0,0,745961.0,74596.1,147846.698241756,462406.0,0.0,753579.0,94197.375,156184.031458256,450558.0,175.0,0
3128,192.168.72.158,61137,6,15/05/201704:41:33,115707505,20,16,2639,781.0,1130,6,131.95,260.5652711439,470,6,48.8125,116.0673475473,29.5572875761,0.3111293429,3305928.71428571,6009439.32705666,24872206.0,1,115656109.0,6087163.63157895,7130755.05908488,24922792.0,34.0,115651906.0,7710127.06666667,7211269.75502667,24922836.0,35.0,1
54572,10.200.7.9,3128,6,27/04/201708:33:17,104494965,2,5,12,69.0,6,6,6.0,0.0,63,0,13.8,27.6260746397,0.7751569657,0.0669888736,17415827.5,22092802.9024143,45002253.0,23,90003738.0,90003738.0,0.0,90003738.0,90003738.0,104494922.0,26123730.5,22587117.7495089,45002253.0,23.0,0
1380,10.200.7.5,3128,6,27/04/201707:56:26,116186357,7,30,222,783.0,122,6,31.7142857143,42.5743047926,103,0,26.1,37.2765526747,8.6498968205,0.3184539128,3227398.80555556,11147155.7866028,44962691.0,0,116185625.0,19364270.8333333,22245180.8897585,44962828.0,1.0,116186220.0,4006421.37931034,12332557.7175067,44962692.0,0.0,0
443,10.200.7.195,37244,6,15/05/201709:50:10,106292923,4,5,208,0.0,52,52,52.0,0.0,0,0,0.0,0.0,1.9568565256,0.0846716766,13286615.375,14215006.1762966,27836521.0,60,106292863.0,35430954.3333333,14860236.0830562,52553697.0,25902433.0,106292830.0,26573207.5,861725.878612412,27836825.0,25902189.0,1
50242,10.200.7.7,3128,6,11/05/201710:00:00,23627057,4,0,24,0.0,6,6,6.0,0.0,0,0,0.0,0.0,1.0157845727,0.1692974288,7875685.66666667,13641087.7191086,23627057.0,0,23627057.0,7875685.66666667,13641087.7191086,23627057.0,0.0,0.0,0.0,0.0,0.0,0.0,0
